file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/2011-21442.pdf	0	0	0	0	17	8	1	26	32
/datadrive/data/ESAdocs/federal_register/2011-21556.pdf	0	0	0	0	15	0	0	15	16
/datadrive/data/ESAdocs/federal_register/2011-21614.pdf	0	0	0	0	3	0	0	3	3
/datadrive/data/ESAdocs/federal_register/2011-21839.pdf	0	0	0	0	3	0	0	3	3
/datadrive/data/ESAdocs/federal_register/2011-21879.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-21945.pdf	1	0	0	0	21	0	3	25	28
/datadrive/data/ESAdocs/federal_register/2011-22372.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2011-22433.pdf	0	2	5	4	27	0	0	38	35
/datadrive/data/ESAdocs/federal_register/2011-22900.pdf	0	0	0	0	3	0	0	3	4
/datadrive/data/ESAdocs/federal_register/2011-22990.pdf	0	0	0	6	10	0	0	16	16
/datadrive/data/ESAdocs/federal_register/2011-2367.pdf	3	0	1	0	17	0	1	22	17
/datadrive/data/ESAdocs/federal_register/2011-23911.pdf	0	0	0	0	1	0	0	1	2
/datadrive/data/ESAdocs/federal_register/2011-2400.pdf	0	1	0	12	32	5	1	51	47
/datadrive/data/ESAdocs/federal_register/2011-2403.pdf	0	1	2	2	44	0	1	50	79
/datadrive/data/ESAdocs/federal_register/2011-24045.pdf	4	0	2	0	7	1	1	15	15
/datadrive/data/ESAdocs/federal_register/2011-24046.pdf	0	0	0	0	23	2	5	30	30
/datadrive/data/ESAdocs/federal_register/2011-24047.pdf	0	3	1	0	34	2	3	43	46
/datadrive/data/ESAdocs/federal_register/2011-24519.pdf	3	0	2	0	24	15	16	60	49
/datadrive/data/ESAdocs/federal_register/2011-24608.pdf	0	0	0	0	4	0	0	4	7
/datadrive/data/ESAdocs/federal_register/2011-24633.pdf	1	3	4	2	22	9	5	46	28
/datadrive/data/ESAdocs/federal_register/2011-25083.pdf	0	0	2	0	4	1	0	7	10
/datadrive/data/ESAdocs/federal_register/2011-2529.pdf	1	1	6	0	15	0	0	23	21
/datadrive/data/ESAdocs/federal_register/2011-25359.pdf	18	3	2	0	41	0	0	64	43
/datadrive/data/ESAdocs/federal_register/2011-25471.pdf	2	2	1	4	41	26	14	90	48
/datadrive/data/ESAdocs/federal_register/2011-25483.pdf	0	0	0	0	1	0	0	1	1
/datadrive/data/ESAdocs/federal_register/2011-25539.pdf	3	0	1	0	22	16	17	59	34
/datadrive/data/ESAdocs/federal_register/2011-25583.pdf	0	0	0	0	14	0	1	15	23
/datadrive/data/ESAdocs/federal_register/2011-25595.pdf	0	0	0	0	10	1	0	11	10
/datadrive/data/ESAdocs/federal_register/2011-25655.pdf	12	2	3	0	39	22	27	105	60
/datadrive/data/ESAdocs/federal_register/2011-25690.pdf	4	0	1	0	16	7	10	38	23
/datadrive/data/ESAdocs/federal_register/2011-25808.pdf	2	1	1	0	16	0	0	20	19
/datadrive/data/ESAdocs/federal_register/2011-25809.pdf	0	0	1	0	16	4	7	28	24
/datadrive/data/ESAdocs/federal_register/2011-25811.pdf	0	0	2	0	12	0	0	14	15
/datadrive/data/ESAdocs/federal_register/2011-25818.pdf	0	1	0	0	33	1	0	35	44
/datadrive/data/ESAdocs/federal_register/2011-26301.pdf	0	0	5	0	52	7	6	70	66
/datadrive/data/ESAdocs/federal_register/2011-26798.pdf	0	0	0	0	3	0	1	4	3
/datadrive/data/ESAdocs/federal_register/2011-2691.pdf	0	0	0	0	2	1	0	3	2
/datadrive/data/ESAdocs/federal_register/2011-27122.pdf	14	4	9	8	59	7	7	108	71
/datadrive/data/ESAdocs/federal_register/2011-27644.pdf	0	0	0	0	3	0	0	3	6
/datadrive/data/ESAdocs/federal_register/2011-27727.pdf	1	0	0	1	3	0	0	5	6
/datadrive/data/ESAdocs/federal_register/2011-28065.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2011-28126.pdf	0	0	0	0	1	0	0	1	1
/datadrive/data/ESAdocs/federal_register/2011-2882.pdf	0	0	0	0	0	0	0	0	3
/datadrive/data/ESAdocs/federal_register/2011-29780.pdf	1	0	1	0	4	0	0	6	7
/datadrive/data/ESAdocs/federal_register/2011-3038.pdf	3	0	0	0	36	3	1	43	67
/datadrive/data/ESAdocs/federal_register/2011-30451.pdf	0	0	0	0	17	0	1	18	21
/datadrive/data/ESAdocs/federal_register/2011-31427.pdf	0	0	1	0	3	0	0	4	3
/datadrive/data/ESAdocs/federal_register/2011-32431.pdf	0	0	0	0	8	0	1	9	9
/datadrive/data/ESAdocs/federal_register/2011-32825.pdf	19	1	2	0	52	0	0	74	62
/datadrive/data/ESAdocs/federal_register/2011-33602.pdf	4	1	9	0	31	1	0	46	33
/datadrive/data/ESAdocs/federal_register/2011-33610.pdf	5	0	1	0	7	0	0	13	8
